time,pos_lowerbackrx,pos_upperbackrx,pos_rtibiarx,pos_ltibiarx,pos_rfemurrx,pos_lfemurrx,pos_rfootrx,pos_lfootrx,pos_rhumerusrx,pos_lhumerusrx,pos_rhumerusrz,pos_lhumerusrz,pos_rhumerusry,pos_lhumerusry,pos_rradiusrx,pos_lradiusrx,force_headrx,force_headry,force_headrz,force_lclaviclery,force_lclaviclerz,force_lfemurrx,force_lfemurry,force_lfemurrz,force_lfingersrx,force_lfootrx,force_lfootrz,force_lhandrx,force_lhandrz,force_lhumerusrx,force_lhumerusry,force_lhumerusrz,force_lowerbackrx,force_lowerbackry,force_lowerbackrz,force_lowerneckrx,force_lowerneckry,force_lowerneckrz,force_lradiusrx,force_lthumbrx,force_lthumbrz,force_ltibiarx,force_ltoesrx,force_lwristry,force_rclaviclery,force_rclaviclerz,force_rfemurrx,force_rfemurry,force_rfemurrz,force_rfingersrx,force_rfootrx,force_rfootrz,force_rhandrx,force_rhandrz,force_rhumerusrx,force_rhumerusry,force_rhumerusrz,force_rradiusrx,force_rthumbrx,force_rthumbrz,force_rtibiarx,force_rtoesrx,force_rwristry,force_thoraxrx,force_thoraxry,force_thoraxrz,force_upperbackrx,force_upperbackry,force_upperbackrz,force_upperneckrx,force_upperneckry,force_upperneckrz
0.022000000000000006,[0.79693216],[0.45986317],[0.09638583],[0.09127234],[-0.28204656],[-0.2845387],[-0.00581241],[-0.02503194],[-0.3207814],[-0.33318872],[-0.3735124],[0.39846447],[-0.27019969],[0.23024475],[0.51799642],[0.5419368],0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.024000000000000007,[0.79693216],[0.45986317],[0.09638583],[0.09127234],[-0.28204656],[-0.2845387],[-0.00581241],[-0.02503194],[-0.3207814],[-0.33318872],[-0.3735124],[0.39846447],[-0.27019969],[0.23024475],[0.51799642],[0.5419368],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
0.02600000000000001,[0.79693216],[0.45986317],[0.09638583],[0.09127234],[-0.28204656],[-0.2845387],[-0.00581241],[-0.02503194],[-0.3207814],[-0.33318872],[-0.3735124],[0.39846447],[-0.27019969],[0.23024475],[0.51799642],[0.5419368],0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.02800000000000001,[0.79693216],[0.45986317],[0.09638583],[0.09127234],[-0.28204656],[-0.2845387],[-0.00581241],[-0.02503194],[-0.3207814],[-0.33318872],[-0.3735124],[0.39846447],[-0.27019969],[0.23024475],[0.51799642],[0.5419368],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
0.030000000000000013,[0.79693216],[0.45986317],[0.09638583],[0.09127234],[-0.28204656],[-0.2845387],[-0.00581241],[-0.02503194],[-0.3207814],[-0.33318872],[-0.3735124],[0.39846447],[-0.27019969],[0.23024475],[0.51799642],[0.5419368],0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.032000000000000015,[0.79693216],[0.45986317],[0.09638583],[0.09127234],[-0.28204656],[-0.2845387],[-0.00581241],[-0.02503194],[-0.3207814],[-0.33318872],[-0.3735124],[0.39846447],[-0.27019969],[0.23024475],[0.51799642],[0.5419368],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
0.034000000000000016,[0.79693216],[0.45986317],[0.09638583],[0.09127234],[-0.28204656],[-0.2845387],[-0.00581241],[-0.02503194],[-0.3207814],[-0.33318872],[-0.3735124],[0.39846447],[-0.27019969],[0.23024475],[0.51799642],[0.5419368],0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.03600000000000002,[0.79693216],[0.45986317],[0.09638583],[0.09127234],[-0.28204656],[-0.2845387],[-0.00581241],[-0.02503194],[-0.3207814],[-0.33318872],[-0.3735124],[0.39846447],[-0.27019969],[0.23024475],[0.51799642],[0.5419368],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
0.03800000000000002,[0.79693216],[0.45986317],[0.09638583],[0.09127234],[-0.28204656],[-0.2845387],[-0.00581241],[-0.02503194],[-0.3207814],[-0.33318872],[-0.3735124],[0.39846447],[-0.27019969],[0.23024475],[0.51799642],[0.5419368],0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.04000000000000002,[0.79693216],[0.45986317],[0.09638583],[0.09127234],[-0.28204656],[-0.2845387],[-0.00581241],[-0.02503194],[-0.3207814],[-0.33318872],[-0.3735124],[0.39846447],[-0.27019969],[0.23024475],[0.51799642],[0.5419368],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
